step	acc
0	0.2707333333333333
1	0.40696666666666664
2	0.4991833333333333
3	0.6582666666666667
4	0.5437333333333333
5	0.6674
6	0.6644
7	0.6833166666666667
8	0.7272
9	0.68985
10	0.7435333333333334
11	0.6868166666666666
12	0.76165
13	0.7097833333333333
14	0.7694
